id,genotype,sleep_fraction_day,sleep_fraction_night,latency_to_longest_bout_night,mean_bout_length_night,n_bouts_night,morning_anticipation,velocity_if_awake,total_distance
2020-03-12_16-00-14_103bbd|12,iPla KO,0.510855393685165,0.628174603174603,418.708333333333,12.790037714781,35.5,50.0850114444388,6.89587229844046,62.891053693208
2020-03-12_16-00-14_103bbd|13,iPla KO,0.44414215269512,0.490816326530612,234.708333333333,15.4194797178131,23.5,24.7608427186311,5.56228935042293,69.6878860148088
2020-03-12_16-00-14_103bbd|14,iPla KO,0.447687599183859,0.481575963718821,267.208333333333,12.9700584975369,27.25,53.1941632828853,6.7713337463403,74.2445582668644
2020-03-12_16-00-14_103bbd|15,iPla KO,0.506773992404059,0.641780045351474,264.916666666667,12.8149874792556,36.25,62.6496359521929,6.61745022281619,61.1499685920339
2020-03-12_16-00-14_103bbd|17,iPla KO,0.622278911564626,0.611848072562358,350.5,16.2566666666667,28.25,0.620452827081092,6.97099326488529,70.5170563597847
2020-03-12_16-00-14_103bbd|18,iPla KO,0.485774200861483,0.692176870748299,352.583333333333,20.2787474034702,26.25,60.9855934835458,7.78196007249702,71.8870997571581
2020-03-12_16-00-14_103bbd|19,iPla KO,0.524370890954432,0.570634920634921,337.208333333333,14.0663932708477,30.25,-5.54421847456426,7.7823675282197,78.6901301667417
2020-03-12_16-00-54_104bbd|01,iPla het,0.364435122725469,0.642460317460318,222.291666666667,15.2147229372229,31.5,63.4375010712894,5.11326278579112,60.9954644629201
2020-03-12_16-00-54_104bbd|02,iPla het,0.219205260472762,0.511791383219955,222.833333333333,12.8207161903283,29.75,65.8436295301835,5.07053021601781,65.4727140521683
2020-03-12_16-00-54_104bbd|03,iPla het,0.42423898871946,0.626643990929705,263.25,19.2532510504202,25.5,59.2345986586862,5.74606946922175,75.3041299243849
2020-03-12_16-00-54_104bbd|05,iPla het,0.254577404909019,0.696825396825397,175.125,14.355919506463,36.5,36.5554458618172,6.40253525667796,65.9627417123743
2020-03-12_16-00-54_104bbd|06,iPla het,0.405215419501134,0.804591836734694,432.666666666667,20.6840476190476,28.5,56.9954148838816,6.76761257922518,69.9415427796426
2020-03-12_16-00-54_104bbd|07,iPla het,0.357462728870245,0.635997732426304,254.083333333333,18.9062299679487,25.5,63.4854260302966,6.60851145236305,78.1489589364515
2020-03-12_16-00-54_104bbd|08,iPla het,0.470268125389717,0.799829931972789,150.916666666667,15.5841205578048,37,54.7687339699021,5.7469719072985,64.572502381804
2020-03-12_16-00-54_104bbd|11,iPla KO,0.0990873533246415,0.455385487528345,195.791666666667,11.6825933257919,28.5,25.5152211120057,4.18912584226532,60.6950948337633
2020-03-12_16-00-54_104bbd|12,iPla KO,0.515333597868602,0.732086167800454,243.75,19.500052040677,28.25,65.7353060820027,6.2927462021199,62.3254238010197
2020-03-12_16-00-54_104bbd|13,iPla KO,0.532282750410974,0.665136054421769,250.166666666667,16.1315084780811,30.75,53.2631414967178,6.50679628225804,69.7629611780772
2020-03-12_16-00-54_104bbd|15,iPla KO,0.0629216030837254,0.363605442176871,208.833333333333,10.8349776500639,24.25,16.4293250522593,4.48182893818578,67.5178121303205
2020-03-12_16-00-54_104bbd|17,iPla KO,0.351453999206394,0.576417233560091,144.125,14.4153302728371,30.25,63.598624293391,4.72113952837053,59.6122761185614
2020-03-12_16-12-10_106bbd|01,iPla het,0.548383437322745,0.758333333333333,139.25,22.6278791407868,24.75,39.5619741655628,6.07241161470093,59.087354898477
2020-03-12_16-12-10_106bbd|02,iPla het,0.509664984978176,0.666780045351474,148.791666666667,16.6741341991342,30.25,56.9406294492364,8.59112238986485,83.1245693072118
2020-03-12_16-12-10_106bbd|03,iPla het,0.404285471345162,0.56921768707483,119.833333333333,16.808360042735,25,58.7711307678123,6.9587658445365,79.438521897806
2020-03-12_16-12-10_106bbd|04,iPla het,0.579729040303838,0.72687074829932,224.541666666667,23.9006944444445,23.25,48.7409468284463,4.95673927024339,55.5815896396313
2020-03-12_16-12-10_106bbd|05,iPla het,0.427073295164673,0.637868480725624,355.666666666667,17.0031857295784,28,34.8124954303386,6.83521228327518,72.8887483048795
2020-03-12_16-12-10_106bbd|06,iPla het,0.525593787200272,0.627261898008963,246.541666666667,17.28125,26.25,51.2200774145004,6.61736328754893,67.4579142500048
2020-03-12_16-12-10_106bbd|07,iPla het,0.492715832435803,0.489625850340136,242.541666666667,19.8958333333333,17.75,-1.31854292352247,7.56412353506758,91.7310044469367
2020-03-12_16-12-10_106bbd|08,iPla het,0.546567654894847,0.669501133786848,156.5,22.4945054945055,21.75,24.143759137824,8.16760468296826,82.3657918464529
2020-03-12_16-12-10_106bbd|09,iPla het,0.518167904313815,0.660714285714286,157.5,18.0276785714286,27.25,59.8710964270175,6.6385505181102,72.1816711056079
2020-03-12_16-12-10_106bbd|10,iPla het,0.410974434555864,0.558390022675737,413.208333333333,14.5906870638755,28.25,39.0151380011496,5.89610718740372,71.2647716143756
2020-03-12_16-12-10_106bbd|11,Rab39het_iPlahet,0.432685221926195,0.562585034013606,146.375,11.3649730814702,36.75,54.7958457706248,6.7560911048598,72.0176807203101
2020-03-12_16-12-10_106bbd|12,Rab39het_iPlahet,0.194376736012698,0.379591836734694,249.125,9.22597503035326,29.5,40.391836458709,3.67411333200042,53.1666152945791
2020-03-12_16-12-10_106bbd|13,Rab39het_iPlahet,0.487727453092228,0.436111111111111,133.791666666667,12.1281705391383,26,26.5326535836524,5.37541340912062,68.1637882859829
2020-03-12_16-12-10_106bbd|14,Rab39het_iPlahet,0.266078750772342,0.389720307157671,335.5,10.060339997412,28.75,34.8327751152745,4.94768678130907,120.554568509769
2020-03-12_16-12-10_106bbd|15,Rab39het_iPlahet,0.154129584490675,0.322789115646259,306.125,10.5651095583161,22.75,35.5261351166526,8.76965236702554,111.914691510537
2020-03-12_16-12-10_106bbd|16,Rab39het_iPlahet,0.347918890074707,0.515722212880444,132.583333333333,10.5301404468827,35.75,38.9896969108539,6.0549870553682,119.510995120873
2020-03-12_16-12-10_106bbd|17,Rab39het_iPlahet,0.366702567881639,0.604931972789116,226.75,12.835316012261,34,35.7576350417724,5.9259203409286,65.0060264006163
2020-03-12_16-12-10_106bbd|18,Rab39het_iPlahet,0.376509268182076,0.606349206349206,301.458333333333,11.9771215644377,37.25,22.6654929279941,5.34481833786298,57.6378290519084
2020-03-12_16-12-10_106bbd|19,Rab39het_iPlahet,0.39453545717363,0.534297052154195,460.958333333333,10.0792515800989,37.75,25.0777614935995,6.7066764008523,73.535862865017
2020-03-12_16-12-10_106bbd|20,Rab39het_iPlahet,0.26018933167054,0.498809523809524,404.416666666667,9.78664276724622,36.75,31.2954508999617,5.46465026130123,61.4927898868979
2020-03-12_16-12-18_107bbd|01,Omi KO,0.182508436445444,0.281934357935034,287,9.79774904214559,21,33.8015761359135,6.85332253434396,153.042756312134
2020-03-12_16-12-18_107bbd|02,Omi KO,0.309336205430531,0.304081632653061,301.375,8.96852633150274,24.5,35.7027326087822,4.75575423419195,49.8074275039796
2020-03-12_16-12-18_107bbd|03,Omi KO,0.326512102488521,0.468820861678005,269.916666666667,11.0552407245956,30,36.3724079118679,5.08323776698832,51.3431665991583
2020-03-12_16-12-18_107bbd|05,Omi KO,0.346975795022958,0.398639455782313,177.875,10.3208636544658,27.5,34.0084700014355,6.78588730424696,63.9950024715436
